name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Electoral College NEWS (via FFR),hello@fightforreform.org,The GOP's plan to end our Democracy!!,11/1/24 9:11,2024,11,1,9,11,fightforreform.org,D,True,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,49,42
Senator Marco Rubio,news@e.updatesforgreatamericans.com,"Ohio, Montana, Pennsylvania, Nevada, Wisconsin, New Mexico, Virginia, Arizona, Michigan",11/1/24 9:32,2024,11,1,9,32,e.updatesforgreatamericans.com,R,True,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,RUBIO VICTORY COMMITTEE,38,38
NRSC Alerts,editor@update.insidescooppolitics.org,Joe Biden thinks you’re GARBAGE,11/1/24 9:50,2024,11,1,9,50,update.insidescooppolitics.org,R,True,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,47,45
Rudy Giuliani,news@iesp.conservativelibertywire.com,"Now, my primary residence could be “seized”",11/1/24 10:05,2024,11,1,10,5,iesp.conservativelibertywire.com,R,True,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDYGIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,48,14
"Team VPP, me (1)",info@e.protectvoting.org,you haven’t confirmed that you’re voting for Kamala!,11/1/24 10:09,2024,11,1,10,9,e.protectvoting.org,D,True,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,,VOTER PROTECTION PROJECT,,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,48,48
Jim Jordan,patriot@e.youramerica.news,Our final chance,11/1/24 10:10,2024,11,1,10,10,e.youramerica.news,R,True,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,,NRCC,,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,48,43
Rudy Giuliani,news@e.americandefensenews.com,Just when I thought it was the end,11/1/24 10:11,2024,11,1,10,11,e.americandefensenews.com,R,True,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,RUDY GIULIANI FREEDOM FUND LEGAL DEFENSE TRUST,49,37
Mug from Trump,contact@win.donaldjtrump.com,Friend Friend Friend,11/1/24 10:12,2024,11,1,10,12,win.donaldjtrump.com,R,True,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,"TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE.",TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,"TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE",TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,47,45
Tulsi Gabbard,news@e.1600daily.com,Could you do me a quick favor?,11/1/24 10:13,2024,11,1,10,13,e.1600daily.com,R,True,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,,DEFEND FREEDOM INC.,,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,48,47
Major Development in Your City,news@iesp.conservativesgive.com,We are contacting patriots in your neighborhood to get a lay of the land,11/1/24 10:30,2024,11,1,10,30,iesp.conservativesgive.com,R,True,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,49,45
Chairman Richard Hudson,news@e.americanbriefing.com,Taking a break to say THANK YOU,11/1/24 10:34,2024,11,1,10,34,e.americanbriefing.com,R,True,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NRCC,THE NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NRCC,NRCC,THE NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,49,25
Jim Jordan,news@e.firstlook.news,Our final chance,11/1/24 10:35,2024,11,1,10,35,e.firstlook.news,R,True,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,,NRCC,,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,48,42
Major Development in Your City,news@iesp.conservativelibertywire.com,Can we count on you to complete this assessment by 11:59 PM tonight?,11/1/24 11:03,2024,11,1,11,3,iesp.conservativelibertywire.com,R,True,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,,NRSC,,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,48,42
Senate GOP War Room,news@iesp.freedomnationtoday.com,Deplorable. Fascist. Garbage.,11/1/24 11:03,2024,11,1,11,3,iesp.freedomnationtoday.com,R,True,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,49,46
@Debbie,info@e.debbieforflorida.com,What $10 — and a box of doughnuts — means to me,11/1/24 11:06,2024,11,1,11,6,e.debbieforflorida.com,D,True,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE MUCARSEL-POWELL,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,49,48
Tulsi Gabbard,news@e.updateforamerica.com,Could you do me a quick favor?,11/1/24 11:06,2024,11,1,11,6,e.updateforamerica.com,R,True,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,,DEFEND FREEDOM INC.,,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,"DEFEND FREEDOM INC. PO BOX 75255 KAPOLEI, HI 96707",DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,DEFEND FREEDOM INC.,48,46
